fid,MDI_IDENT,STATUS_ID,STATUS,NAME,All_NAMES,DEP_CLASS,P_COMMOD,S_COMMOD,RGP_DIST,TWP_AREA,LL_DATUM,LATITUDE,LONGITUDE,DETAIL,potentiel
925,MDI31C12NE00116,1008,Prospect,Triana Explorations,"Louada, Triana Explorations",,"Copper, Nickel",Gold,Southern Ontario,Tudor,NAD83,44.709615999999997,-77.502188000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31C12NE00116,Faible
926,MDI41P10NW00029,1004,Occurrence,Hedland,"Hedland, Tribag",,Silver,"Cobalt, Copper, Nickel",Kirkland Lake,Van Hise,NAD83,47.670394000000002,-80.825801999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P10NW00029,Fort
927,MDI41I05SW00103,1004,Occurrence,Pronto No E8,Pronto No E8,,Nickel,,Sudbury,Shakespeare,NAD83,46.303688000000001,-81.837504999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SW00103,Très fort
928,MDI42A14NE00072,1004,Occurrence,Ward DDH Opap 1995,Ward DDH Opap 1995,,Nickel,Chromium,Timmins,Mann,NAD83,48.872734999999999,-81.036709999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A14NE00072,Fort
929,MDI41P10SW00003,1009,Past Producing Mine (Low Tonnage),Bartlett,"Bartlett, Crews-McFarlan, Lake Superior Resources Corp., Manridge",,Silver,"Cobalt, Copper, Nickel",Kirkland Lake,Milner,NAD83,47.592059999999996,-80.812640000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P10SW00003,Fort
931,MDI42L05SW00011,1004,Occurrence,Panther East,"Noranda, Panther East, Toronto Lake East",,"Copper, Nickel",,Thunder Bay North,Toronto Lake Area,NAD83,50.350879999999997,-87.783130000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42L05SW00011,Intermédiaire
937,MDI42A15SW00031,1004,Occurrence,International Mogul DDH 73-3,International Mogul DDH 73-3,,Nickel,,Timmins,Mann,NAD83,48.817314000000003,-80.952557999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00031,Fort
940,MDI31C16SW00142,1004,Occurrence,Christie Lake Mine Occurrence,"Christie Lake Mine Occurrence, Christie Lake Occurrence","Pegmatite, Skarn","Iron, Nickel","Cobalt, Copper, Gold, Silver, Thorium, Titanium, Uranium, Zinc",Southern Ontario,South Sherbrooke,NAD83,44.801229999999997,-76.455237999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31C16SW00142,Faible
947,MDI42A05NW00012,1008,Prospect,Warren Claims,"Claim 15511, Ross Prospect, Taylor-Warren Claims, Warren Claims",,"Cobalt, Copper, Nickel","Gold, Zinc",Timmins,Whitesides,NAD83,48.428877000000000,-81.820359999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A05NW00012,Fort
948,MDI52M01SE00224,1004,Occurrence,Miles - East Zone,"Miles - East Zone, Miles Red Lake 'East Zone'",,"Copper, Gold, Silver",Nickel,Red Lake,Ball,NAD83,51.034317999999999,-94.232545000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01SE00224,Modéré
