fid,MDI_IDENT,STATUS_ID,STATUS,NAME,All_NAMES,DEP_CLASS,P_COMMOD,S_COMMOD,RGP_DIST,TWP_AREA,LL_DATUM,LATITUDE,LONGITUDE,DETAIL,potentiel
6,MDI31F06SW00060,1008,Prospect,A. Dubblestein Graphite Property,"A. Dubblestein Graphite Property, Little-Bryan Occurrence, Lyndoch Property","Industrial, Metamorphic",Graphite,"Cobalt, Copper, Dolomite (Flux/Filler), Nickel",Southern Ontario,Lyndoch,NAD83,45.266601000000001,-77.311813999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31F06SW00060,Faible
8,MDI41I10SW00004,1005,Past Producing Mine,Falconbridge,Falconbridge,,"Copper, Nickel","Cobalt, Gold, Iridium, Iron, Palladium, Platinum, Rhodium, Ruthenium, Selenium, Silver",Sudbury,Falconbridge,NAD83,46.581032000000000,-80.799851000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00004,Très fort
13,MDI41P11SE00071,1004,Occurrence,Caswell-Eplett-Neelands,"Caswell-Eplett-Neelands, G.J. Mullen",,"Cobalt, Copper, Nickel, Silver",,Kirkland Lake,Leonard,NAD83,47.534016000000001,-81.029317000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P11SE00071,Fort
14,MDI42A09SW00188,1004,Occurrence,Mickle,"Amax of Canada Ltd., Canadian Johns-Manville Co. Ltd., International Nickel Co. Ltd., Mickle",,"Nickel, Palladium, Platinum",,Kirkland Lake,Munro,NAD83,48.577585999999997,-80.274867000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A09SW00188,Fort
16,MDI52F05SE00071,1008,Prospect,H.A. Bergman,"H.A. Bergman, Isinglass Lake, R.V. Knappet",,"Copper, Nickel",Gold,Kenora,Rowan Lake Area,NAD83,49.357235000000003,-93.696306000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52F05SE00071,Modéré
17,MDI41I10SW00060,1004,Occurrence,Sir Mortimer Davis,"Sir Mortimer Davis, Track-Davis",,"Copper, Nickel, Palladium, Platinum",,Sudbury,Garson,NAD83,46.569879999999998,-80.943889999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00060,Très fort
23,MDI42A14SW00032,1001,Deposit,Crawford Nickel Sulphide Project,"Anomaly 4-89, Crawford Nickel Main Zone, Crawford Nickel Sulphide Project, Inco 27095",Komatiite-hosted,Nickel,"Chromium, Cobalt, Copper, Gold, Magnesium Minerals, Platinum",Timmins,Crawford,NAD83,48.828614999999999,-81.358631000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A14SW00032,Fort
25,MDI31M05NE00115,1004,Occurrence,A. Seed,A. Seed,,Cobalt,Nickel,Kirkland Lake,Bucke,NAD83,47.433973000000002,-79.747938000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05NE00115,Fort
28,MDI31C13SW00109,1003,Discretionary Occurrence,Macassa,Macassa,,"Copper, Nickel",,Southern Ontario,Wollaston,NAD83,44.837978000000000,-77.765623000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31C13SW00109,Faible
29,MDI41I05SW00091,1004,Occurrence,Baldwin F,"Baldwin F, Prosco 16, Turpeinen Property",,Copper,"Cobalt, Gold, Nickel, Sulphur/Pyrite",Sudbury,Baldwin,NAD83,46.319910999999998,-81.795263000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SW00091,Très fort
30,MDI52B09NW00027,1004,Occurrence,H. Milkie,H. Milkie,,"Copper, Nickel","Gold, Silver",Thunder Bay South,Haines,NAD83,48.633270000000003,-90.339191000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52B09NW00027,Intermédiaire
31,MDI42A09NE00004,1005,Past Producing Mine,Hedman,"Dyman, Hedman, Knight, Mangan-Dyer, Van Packer Mines of Canada Ltd.",,Serpentinite,"Asbestos, Cobalt, Copper, Nickel",Kirkland Lake,Warden,NAD83,48.625675999999999,-80.199252000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A09NE00004,Fort
33,MDI42A06SE00024,1004,Occurrence,J. Kennedy Property,"Claim T.R.P. 1566, J. Kennedy Property, Kennedy Occurrence, Kennedy-Croteau Property, M.M. Jones Property",,"Copper, Gold",Nickel,Timmins,Eldorado,NAD83,48.289740999999999,-81.086449000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A06SE00024,Fort
35,MDI41P08NW00002,1009,Past Producing Mine (Low Tonnage),White Reserve,White Reserve,,"Cobalt, Silver","Antimony, Bismuth, Copper, Gold, Nickel",Kirkland Lake,Whitson,NAD83,47.439664000000000,-80.279306000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P08NW00002,Fort
37,MDI42F04NE00010,1003,Discretionary Occurrence,Moshkinabi Lake Sulphides,"Aquarius Joint Venture Project 1191, Ian Lake Area Project No. 4034, Ice Cream Lake Occurrence, Manitouwadge Project, Moshkinabi Lake Sulphides",,"Copper, Nickel",,Thunder Bay South,Roberta,NAD83,49.128912000000000,-85.562763000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42F04NE00010,Intermédiaire
40,MDI31M04SE00030,1004,Occurrence,Gosselin,"Aldage, Gosselin",,"Copper, Silver","Cobalt, Gold, Nickel",Kirkland Lake,Cassels,NAD83,47.089050999999998,-79.696832000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M04SE00030,Fort
41,MDI41I06NE00005,1007,Producing Mine,Creighton Mine,Creighton Mine,,"Copper, Nickel, Palladium, Platinum","Cobalt, Gold, Iron, Selenium, Silver, Sulphur/Pyrite, Tellurium",Sudbury,Snider,NAD83,46.460746000000000,-81.181697999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I06NE00005,Très fort
42,MDI52M01SE00184,1004,Occurrence,Bridget Lake #1,"Bridget Lake #1, Bridget Lake Copper Prospect, Cochenour Willans KRL 2023 Occurrence, Piper Red Lake Occurrence - KRL 2023",,"Copper, Silver","Gold, Nickel",Red Lake,Ball,NAD83,51.033478000000002,-94.217505000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01SE00184,Modéré
46,MDI41I05SW00096,1004,Occurrence,Prosco No E13,"L-6, Prosco No E13, Turpeinen",,Sulphur/Pyrite,"Copper, Gold, Nickel",Sudbury,Baldwin,NAD83,46.313153000000000,-81.771488000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SW00096,Très fort
47,MDI52M01NE00010,1003,Discretionary Occurrence,Rowan Consolidated Occurrence,Rowan Consolidated Occurrence,,Gold,"Nickel, Silver",Red Lake,Ball,NAD83,51.050581999999999,-94.237200000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01NE00010,Modéré
50,MDI41P11SE00074,1001,Deposit,Little Nickel Deposit,"Fort Knox Gold Resources Inc, Inco Ltd., Little Nickel Deposit, South Grid",,"Copper, Lead, Nickel, Zinc",Cobalt,Kirkland Lake,Fawcett,NAD83,47.559804000000000,-81.172421000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P11SE00074,Fort
51,MDI52M01NE00011,1003,Discretionary Occurrence,Albert Jerome Occurrence,"Albert Jerome Occurrence, Scott Gold Mining Syndicate Occurrence",,Gold,"Molybdenum, Nickel",Red Lake,Ball,NAD83,51.052964000000003,-94.233053999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01NE00011,Modéré
53,MDI000000001385,1004,Occurrence,Rawson Island Showing,Rawson Island Showing,,Nickel,"Cobalt, Copper, Zinc",Timmins,Nursey,NAD83,47.856760999999999,-81.343147000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001385,Fort
57,MDI52M01SE00183,1003,Discretionary Occurrence,West Narrows,"DDH 66-84, Trout Bay, West Narrows",,"Nickel, Vanadium","Copper, Titanium",Red Lake,Ball,NAD83,51.024709999999999,-94.186021999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01SE00183,Modéré
61,MDI000000001386,1004,Occurrence,First Island Sample 1627,First Island Sample 1627,,Nickel,"Chromium, Cobalt, Copper, Gold, Zinc",Timmins,Nursey,NAD83,47.859079999999999,-81.338029000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001386,Fort
62,MDI31M05SE00019,1005,Past Producing Mine,Lawson Mine,"Glen Lake Silver Mines Ltd., Hiho Silver Mines Ltd., La Rose Mines Ltd., La Rose-Rouyn Mines Ltd., Lawson Mine, Silver-Miller Mines Ltd.",Vein (Cobalt-Type),"Cobalt, Silver","Copper, Lead, Nickel, Zinc",Kirkland Lake,Coleman,NAD83,47.374094999999997,-79.660560000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05SE00019,Fort
63,MDI42A10NE00082,1004,Occurrence,Hucamp Mines DDH HUF1-01,Hucamp Mines DDH HUF1-01,,"Cobalt, Nickel","Palladium, Platinum",Timmins,Dundonald,NAD83,48.648957000000003,-80.821360999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A10NE00082,Fort
69,MDI41P09SE00011,1004,Occurrence,William Moore,William Moore,,Silver,"Cobalt, Copper, Nickel",Kirkland Lake,Speight,NAD83,47.568069999999999,-80.207862000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P09SE00011,Fort
72,MDI42A16SW00044,1004,Occurrence,Mistango - West,Mistango - West,,Nickel,Chromium,Kirkland Lake,Moody,NAD83,48.839621000000001,-80.314732000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A16SW00044,Fort
73,MDI41I09NW00016,1003,Discretionary Occurrence,Larabee,Larabee,,"Copper, Nickel","Palladium, Platinum",Sudbury,Davis,NAD83,46.675293000000003,-80.458360999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I09NW00016,Très fort
74,MDI31M05SE00129,1009,Past Producing Mine (Low Tonnage),"Hector Silver Mines, Block 4","Claim C1243, Gillies Limit Block 4, Hector Silver Mines, Block 4, W. Gutzman Property",Vein (Cobalt-Type),Silver,"Bismuth, Cobalt, Nickel",Kirkland Lake,Gillies Limit,NAD83,47.351798000000002,-79.722945999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05SE00129,Fort
75,MDI31M05SE00126,1004,Occurrence,Cordon Cobalt Mines Ltd. (SW part),"Conroy McAndrew, Cordon Cobalt Mines Ltd. (SW part), J.J. McAndrew",Vein (Cobalt-Type),"Cobalt, Silver","Copper, Nickel",Kirkland Lake,Gillies Limit,NAD83,47.351174000000000,-79.677047000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05SE00126,Fort
77,MDI000000001089,1004,Occurrence,Chapman Ni-Cu Occurrence,"Chapman Ni-Cu Occurrence, Firesteel, Pyramid",,"Copper, Nickel",,Thunder Bay South,Hanniwell,NAD83,49.057290000000002,-90.890940999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001089,Intermédiaire
78,MDI42A07SW00019,1004,Occurrence,Bishop Claim,"Bishop Claim, Noranda DDH 72-8, Patented Claim P6451, S. M. Hynes Property",,Nickel,,Timmins,Langmuir,NAD83,48.341596000000003,-80.996388999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A07SW00019,Fort
80,MDI52E09SW00030,1004,Occurrence,Ellard,Ellard,,"Copper, Zinc",Nickel,Kenora,Manross,NAD83,49.573898000000000,-94.314099999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52E09SW00030,Modéré
82,MDI41I05SE00061,1004,Occurrence,Andrews,"Andrews, Piispanen","Mafic-Ultramafic Intrusion, Magmatic, Vein","Copper, Nickel","Gold, Sulphur/Pyrite",Sudbury,Baldwin,NAD83,46.294026000000002,-81.710898999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SE00061,Très fort
83,MDI000000001147,1004,Occurrence,Wakinoo Lake,Wakinoo Lake,,"Copper, Nickel","Gold, Palladium, Platinum",Thunder Bay South,Orbit Lake Area,NAD83,48.989299000000003,-89.799143000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001147,Intermédiaire
88,MDI41I10SE00031,1004,Occurrence,Mackenzie,Mackenzie,,Gold,"Copper, Nickel",Sudbury,Falconbridge,NAD83,46.579031000000001,-80.716851000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SE00031,Très fort
89,MDI41P10NE00044,1004,Occurrence,M. Shulman,"Lake Superior Resources Corp., M. Shulman",,"Copper, Nickel, Silver","Bismuth, Cobalt",Kirkland Lake,Nicol,NAD83,47.645377000000003,-80.725877999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P10NE00044,Fort
90,MDI000000001288,1001,Deposit,Midlothian Nickel,"Laurion DDH LM08-01, Midlothian Nickel",Mafic-Ultramafic Intrusion,Nickel,"Chromium, Cobalt, Iron, Palladium, Platinum, Sulphur/Pyrite",Kirkland Lake,Midlothian,NAD83,47.880153999999997,-81.005483999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001288,Fort
94,MDI41I09SE00008,1003,Discretionary Occurrence,Crerar Occurrence F,Crerar Occurrence F,,"Copper, Nickel",,Sudbury,Crerar,NAD83,46.607564000000004,-80.229960000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I09SE00008,Très fort
95,MDI42A06SE00023,1004,Occurrence,Timmins Nickel Ovb DDH Rr-91-08,"R. J. Draper Property, Timmins Nickel Ovb DDH Rr-91-08, Utah Mines DDH R-8",,Nickel,"Copper, Iron, Silver",Timmins,Eldorado,NAD83,48.317095000000002,-81.164595000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A06SE00023,Fort
96,MDI000000002168,1004,Occurrence,Jh-99-465,Jh-99-465,Mafic-Ultramafic Intrusion,"Gold, Palladium, Platinum","Copper, Nickel",Thunder Bay South,Lac Des Iles Area,NAD83,49.230604999999997,-89.595967000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002168,Intermédiaire
100,MDI41I05SE00041,1004,Occurrence,Owen Prospect,"Lorne Station, Owen Prospect","Dimension Stone, Hydrothermal, Vein","Copper, Granite, Nickel",,Sudbury,Baldwin,NAD83,46.285820999999999,-81.691096999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I05SE00041,Très fort
109,MDI41P01NE00007,1008,Prospect,Coppersand Lake Property,"A. Hardie Property, Coppersand Lake Property, Derosier Property, Hardie Prospect",Vein,"Copper, Gold, Lead, Silver","Cobalt, Nickel",Kirkland Lake,Cynthia,NAD83,47.141480000000001,-80.068940999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P01NE00007,Fort
112,MDI41J11SW00055,1008,Prospect,Sopha-Miller Gold Mines Ltd.,"A. Helfrick Property, Barry Property, Kerr Claim, Sopha-Miller Gold Mines Ltd.",Vein,"Bismuth, Cobalt, Copper, Nickel, Silver",Gold,Sault Ste. Marie,Otter,NAD83,46.577528000000001,-83.463395000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41J11SW00055,Faible
117,MDI41I10SW00039,1005,Past Producing Mine,Thayer-Lindsley Mine,"Lindsley Mine, Lindsley Property, Thayer-Lindsley Mine",Mafic-Ultramafic Intrusion,"Copper, Nickel, Palladium, Platinum","Cobalt, Gold, Silver",Sudbury,Blezard,NAD83,46.561031000000000,-80.991872000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I10SW00039,Très fort
121,MDI31M05SE00093,1008,Prospect,Goodwin Lake Shaft,"Crown Reserve Mining Company Ltd., Goodwin Lake Shaft, R.D. Negus (Goodwin Lake Silver-Cobalt Deposit)",,Silver,"Copper, Nickel",Kirkland Lake,Lorrain,NAD83,47.320551000000002,-79.594721000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31M05SE00093,Fort
122,MDI41I15NW00018,1004,Occurrence,Wanapitei River Copper,"Barry Towers Property, Fralick Township SE, G. Reid, Wanapitei River Copper",Mafic-Ultramafic Intrusion,"Copper, Gold","Nickel, Zinc",Sudbury,Fraleck,NAD83,46.910814999999999,-80.838468000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I15NW00018,Très fort
125,MDI41O10NW00039,1004,Occurrence,Granges Zone #2,Granges Zone #2,"Exhalative, Volcanogenic",Nickel,Copper,Timmins,Tooms,NAD83,47.716023999999997,-82.888028000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41O10NW00039,Fort
128,MDI42A06SE00006,1005,Past Producing Mine,Langmuir #2,"Langmuir #2, Langmuir Deposit, Langmuir Mine, Langmuir North, Noranda Langmuir 1-64 Group, R. Lasalle Group, Shoniwigwam Group",Komatiite-hosted,Nickel,"Chromium, Copper, Gold, Silver",Timmins,Langmuir,NAD83,48.341493999999997,-81.001862000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A06SE00006,Fort
129,MDI41O10NW00041,1008,Prospect,Tooms DDH-Tns6,"Tooms DDH-Tns6, Tooms Nickel Syndicate DDH T6",Magmatic,Nickel,Copper,Timmins,Tooms,NAD83,47.718308000000000,-82.863844999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41O10NW00041,Fort
132,MDI52P02NW00004,1004,Occurrence,Leitch Cu-Ni,"Leitch Cu-Ni, Linsey Bay, Linsey Bay Occurrence, Neil Smith Option, Shabuskwia Lake",Mafic-Ultramafic Intrusion,"Copper, Nickel",Cobalt,Thunder Bay North,Ficht Lake Area,NAD83,51.175058000000000,-88.941975999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52P02NW00004,Intermédiaire
134,MDI000000000692,1004,Occurrence,Northern Shield DDH 07HB-04,"Highbank Lake Property, Northern Shield DDH 07HB-04",Mafic-Ultramafic Intrusion,"Copper, Nickel",Chromium,Thunder Bay North,BMA 523 861,NAD83,52.292310999999998,-86.236738000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000692,Intermédiaire
135,MDI000000000478,1004,Occurrence,Pjv Bm04-05,"Northeast Tisdale Project, Pjv Bm04-05",,Gold,Nickel,Timmins,Tisdale,NAD83,48.531905000000002,-81.218055000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000478,Fort
136,MDI42A04NW00043,1004,Occurrence,International Norvalie 2,"International Norvalie 2, International Norvalie DDH4",,Nickel,,Timmins,Kenogaming,NAD83,48.142260000000000,-81.909505999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A04NW00043,Fort
137,MDI42B01NE00050,1003,Discretionary Occurrence,South Hanrahan,"Crawford Lake, Hanrahan Lake, South Hanrahan",Replacement,Asbestos,Nickel,Timmins,Kenogaming,NAD83,48.146580000000000,-82.002143000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B01NE00050,Fort
139,MDI42B09NE00007,1005,Past Producing Mine,Montcalm Mine,"Dighem Syndicate Deposit, Montcalm Creek, Montcalm Deposit, Montcalm Mine, Outokumpu Mines","Mafic-Ultramafic Intrusion, Magmatic","Copper, Nickel",Cobalt,Timmins,Montcalm,NAD83,48.672257000000002,-82.101087000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09NE00007,Fort
140,MDI42B09NE00008,1004,Occurrence,Hollinger DDH MP1-2-78,Hollinger DDH MP1-2-78,,Gold,"Copper, Nickel",Timmins,Montcalm,NAD83,48.694862000000001,-82.097493000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09NE00008,Fort
141,MDI42B09SE00004,1004,Occurrence,Teck DDH Mac96-09,"Montcalm Grid H-East, Teck DDH Mac96-09",,Copper,Nickel,Timmins,Montcalm,NAD83,48.601636999999997,-82.189389000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09SE00004,Fort
142,MDI42B09NE00009,1003,Discretionary Occurrence,Teck DDH Mac96-17,"Teck DDH Mac96-17, Teck- Montcalm Grid E",,Copper,Nickel,Timmins,Montcalm,NAD83,48.638427000000000,-82.136581000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09NE00009,Fort
143,MDI42B09SE00003,1004,Occurrence,Teck DDH Mac96-08,"Teck DDH Mac96-08, Teck Grid H-East",,Nickel,Copper,Timmins,Strachan,NAD83,48.567101000000001,-82.246300000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09SE00003,Fort
145,MDI42A12SW00023,1004,Occurrence,G. Sweet Outcrop No.2,"Dominion Gulf South, G. Sweet Outcrop No.2, Hollinger DH 2, Lepic-Gagnon No.2, OGS Sample BTA 35",,"Copper, Nickel",Cobalt,Timmins,Enid,NAD83,48.572986000000000,-81.873796999999996,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A12SW00023,Fort
150,MDI42G07SW00004,1005,Past Producing Mine,Kapuskasing Phosphate Operations,"Cargill, Cargill Complex, Continental Copper, Kapuskasing Phosphate Operations",Carbonatite,Phosphate,"Clay, Copper, Nickel, Rare Earth Elements, Vermiculite",Timmins,Cargill,NAD83,49.294342000000000,-82.817305000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42G07SW00004,Fort
153,MDI52C11NE00048,1004,Occurrence,Belacoma North,Belacoma North,,"Copper, Nickel","Gold, Platinum",Kenora,Halkirk,NAD83,48.724437999999999,-93.029777999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52C11NE00048,Modéré
154,MDI52C11NE00049,1004,Occurrence,Belacoma South,Belacoma South,,"Copper, Nickel, Palladium, Platinum",,Kenora,Halkirk,NAD83,48.719903000000002,-93.031677999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52C11NE00049,Modéré
156,MDI41P14NE00043,1004,Occurrence,Denison Mines DDH-2,"Denison Mines DDH-2, Strange Lake Wes",,"Copper, Nickel, Zinc","Gold, Lead",Kirkland Lake,Midlothian,NAD83,47.890697000000003,-81.019638000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41P14NE00043,Fort
158,MDI000000002159,1004,Occurrence,Angle Bay,"Angle Bay, Barney Island, Jm-99-0972",,"Palladium, Platinum","Copper, Nickel",Thunder Bay South,Lac Des Iles Area,NAD83,49.187005999999997,-89.586409000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002159,Intermédiaire
159,MDI000000002169,1004,Occurrence,Sutcliffe Zones,"Sutcliffe Zones, Tx-99-850-168",Mafic-Ultramafic Intrusion,Palladium,"Copper, Gold, Nickel, Platinum",Thunder Bay South,Lac Des Iles Area,NAD83,49.215949999999999,-89.577483000000001,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002169,Intermédiaire
160,MDI000000002163,1004,Occurrence,Phantom,Phantom,Mafic-Ultramafic Intrusion,Palladium,"Copper, Gold, Nickel, Platinum",Thunder Bay South,Lac Des Iles Area,NAD83,49.215142000000000,-89.607406999999995,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002163,Intermédiaire
161,MDI000000002162,1003,Discretionary Occurrence,Anomaly Zone,"Anomaly Zone, T00-1150-081",Mafic-Ultramafic Intrusion,"Palladium, Platinum","Copper, Nickel",Thunder Bay South,Lac Des Iles Area,NAD83,49.209935000000002,-89.570853000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002162,Intermédiaire
162,MDI000000002161,1004,Occurrence,TW 2050W Zone,"Jm-99-0731, TW 2050W Zone",Mafic-Ultramafic Intrusion,"Palladium, Platinum","Copper, Gold, Nickel",Thunder Bay South,Lac Des Iles Area,NAD83,49.203969999999998,-89.584136999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000002161,Intermédiaire
164,MDI52F10NW00116,1004,Occurrence,Nabish Lake,"Johnston-Jeness, Nabish Lake",,"Copper, Nickel","Palladium, Platinum",Kenora,Contact Bay Area,NAD83,49.653258999999998,-92.929608000000002,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52F10NW00116,Modéré
166,MDI52F05NE00062,1008,Prospect,Green Bay - Ross Creek,Green Bay - Ross Creek,,"Copper, Nickel",,Kenora,Atikwa Lake Area,NAD83,49.387962999999999,-93.685231999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52F05NE00062,Modéré
170,MDI41I14SE00025,1004,Occurrence,W.D. 13,W.D. 13,Mafic-Ultramafic Intrusion,Nickel,Copper,Sudbury,Bowell,NAD83,46.748896999999999,-81.083776999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I14SE00025,Très fort
173,MDI41I11NE00028,1004,Occurrence,Mining Location WD 212,Mining Location WD 212,Mafic-Ultramafic Intrusion,Nickel,Copper,Sudbury,Bowell,NAD83,46.729543000000000,-81.143897999999993,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I11NE00028,Très fort
176,MDI42A05NE00124,1004,Occurrence,Hollinger DDH New 8,"Claim P.47986, Hollinger DDH New 8",,Nickel,,Timmins,Carscallen,NAD83,48.443320000000000,-81.723056000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A05NE00124,Fort
177,MDI000000001146,1008,Prospect,Buck Lake,Buck Lake,Mafic-Ultramafic Intrusion,"Copper, Nickel, Palladium, Platinum",,Thunder Bay South,Tib Lake Area,NAD83,49.162182999999999,-89.982056999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001146,Intermédiaire
178,MDI31F04NE00077,1004,Occurrence,Landolac Property,"Inwood Showing, Landolac Property","Mafic-Ultramafic Intrusion, Magmatic","Cobalt, Copper, Nickel",,Southern Ontario,Raglan,NAD83,45.161749000000000,-77.532041000000007,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI31F04NE00077,Faible
181,MDI52H13NE00018,1004,Occurrence,Commerce East,Commerce East,Mafic-Ultramafic Intrusion,"Gold, Nickel","Chromium, Cobalt, Iron, Palladium, Platinum",Thunder Bay South,Puddy Lake Area,NAD83,49.966259000000001,-89.517903000000004,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52H13NE00018,Intermédiaire
